read_id	nh
ILLUMINA-075005_0053_FC:3:1:15425:1098#0	1
ILLUMINA-075005_0053_FC:3:1:15490:1097#0	1
ILLUMINA-075005_0053_FC:3:1:15619:1101#0	1
ILLUMINA-075005_0053_FC:3:1:16202:1099#0	1
ILLUMINA-075005_0053_FC:3:1:16293:1101#0	1
ILLUMINA-075005_0053_FC:3:1:16333:1094#0	1
ILLUMINA-075005_0053_FC:3:1:16481:1103#0	1
ILLUMINA-075005_0053_FC:3:1:16819:1095#0	1
ILLUMINA-075005_0053_FC:3:1:17073:1096#0	1
ILLUMINA-075005_0053_FC:3:1:17292:1105#0	1
ILLUMINA-075005_0053_FC:3:1:17404:1099#0	1
ILLUMINA-075005_0053_FC:3:1:17508:1098#0	1
ILLUMINA-075005_0053_FC:3:1:17644:1105#0	1
ILLUMINA-075005_0053_FC:3:1:17882:1101#0	1
ILLUMINA-075005_0053_FC:3:1:18088:1101#0	1
ILLUMINA-075005_0053_FC:3:1:18603:1097#0	1
ILLUMINA-075005_0053_FC:3:1:18628:1100#0	1
ILLUMINA-075005_0053_FC:3:1:19256:1104#0	1
ILLUMINA-075005_0053_FC:3:1:19340:1095#0	1
ILLUMINA-075005_0053_FC:3:1:1126:1117#0	1
ILLUMINA-075005_0053_FC:3:1:1782:1114#0	1
ILLUMINA-075005_0053_FC:3:1:2557:1116#0	1
ILLUMINA-075005_0053_FC:3:1:2763:1116#0	1
ILLUMINA-075005_0053_FC:3:1:2837:1115#0	1
ILLUMINA-075005_0053_FC:3:1:2857:1116#0	1
ILLUMINA-075005_0053_FC:3:1:2955:1108#0	1
ILLUMINA-075005_0053_FC:3:1:3184:1116#0	1
ILLUMINA-075005_0053_FC:3:1:3277:1115#0	1
ILLUMINA-075005_0053_FC:3:1:3963:1107#0	1
ILLUMINA-075005_0053_FC:3:1:3981:1113#0	1
ILLUMINA-075005_0053_FC:3:1:4159:1106#0	1
ILLUMINA-075005_0053_FC:3:1:4241:1111#0	1
ILLUMINA-075005_0053_FC:3:1:4626:1113#0	1
ILLUMINA-075005_0053_FC:3:1:4650:1114#0	1
ILLUMINA-075005_0053_FC:3:1:4757:1118#0	1
ILLUMINA-075005_0053_FC:3:1:4879:1113#0	1
ILLUMINA-075005_0053_FC:3:1:4961:1108#0	1
ILLUMINA-075005_0053_FC:3:1:5501:1109#0	1
ILLUMINA-075005_0053_FC:3:1:5630:1110#0	1
